GameName,EnglishName,SupportPlatforms,Developer,Publisher,pc,ChineseVersion1,ps4,ChineseVersion2,ps5,ChineseVersion3,xbox one,ChineseVersion4,xbox serious,ChineseVersion5,switch,ChineseVersion6,3ds,ChineseVersion7,psv,ChineseVersion8
.hack//versus,,"ps3, ",CyberConnect2,Bandai Namco,,,,,,,,,,,,,,,,
少女巡航机G,オトメディウスG,"x360, ",Konami,Konami,,,,,,,,,,,,,,,,
怪物猎人 携带版 2nd G,モンスターハンターポータブル 2nd G,"psp, ",CAPCOM,CAPCOM,,,,,,,,,,,,,,,,
高达 真冒险谭 失落的G之传说,ガンダムトゥルーオデッセイ 〜失われしGの伝説〜,"ps2, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,,,,
SD高达G世纪DS,SDガンダム Gジェネレーション DS,"nds, ",Vanguard Games,Bandai Namco,,,,,,,,,,,,,,,,
超重力赛车,Radial-G : Racing Revolved,"ps4, ",Tammeka Games,Tammeka Games,,,最早发售 2016-冬季,false,,,,,,,,,,,,
SD高达G世纪 火线纵横,SDガンダム ジージェネレーション クロスレイズ,"ns, ps4, ",Bandai Namco,Bandai Namco,,,最早发售 2019-11-28,true,,,,,,,,,,,,
方根书简 Last Answer,√Letter ルートレター Last Answer,"ns, ps4, pc, ",Kadokawa Games,Kadokawa Games,最早发售 2019-09-03,true,最早发售 2018-12-20,true,,,,,,,,,,,,
活至最后,Last man standing,"pc, ",Free Reign Entertainment,Free Reign Entertainment,2016-12-22,false,,,,,,,,,,,,,,
最后的守护者,The Last Guardian,"ps4, ",genDESIGN,Sony Interactive Entertainment,,,2016-12-06,false,,,,,,,,,,,,
命运九重奏：LAST ERA,NORN9: Last Era,"psv, ",Otomate,Idea Factory,,,,,,,,,,,,,,,2015-03-19,false
北极冒险,The Last Inua,"pc, ",Glowforth,Wired Productions,2014-12-11,false,,,,,,,,,,,,,,
地铁：最后的曙光 回归,Metro: Last Light Redux,"ns, ps4, xb1, pc, ps3, ",4A Games,Deep Silver,最早发售 2014-08-26,false,最早发售 2014-08-26,false,,,,,,,,,,,,
Hackers,,"ios, ",Trickster Arts,Trickster Arts,,,,,,,,,,,,,,,,
hackmud,,"pc, ",Drizzly Bear,Drizzly Bear,最早发售 2016-09-22,false,,,,,,,,,,,,,,
方块跌落U,Blok Drop U,"wiiu, ",RCMADIAX,RCMADIAX,,,,,,,,,,,,,,,,
Wii 派对 U,Wii Party U,"wiiu, ",Nd Cube,Nintendo,,,,,,,,,,,,,,,,
新超级路易吉U,New Super Luigi U,"wiiu, ",Nintendo,Nintendo,,,,,,,,,,,,,,,,
轰隆隆口袋妖怪U,Pokémon Rumble U,"wiiu, ",Ambrella,Nintendo,,,,,,,,,,,,,,,,
新超级马里奥兄弟U,New Super Mario Bros. U,"wiiu, ",Nintendo,Nintendo,,,,,,,,,,,,,,,,
SD高达G世纪3D,SD Gundam G Generation 3D,"3ds, ",Bandai Namco,Bandai Namco,,,,,,,,,,,,,2011-12-22,false,,
偶像宝贝,I Doll U,"psv, ",Otomate,Idea Factory,,,,,,,,,,,,,,,2015-07-16,false
任天堂明星大乱斗Wii U,Super Smash Bros. for Wii U,"wiiu, ",Sora,Nintendo,,,,,,,,,,,,,,,,
时空箭头,Arrow Time U,"wiiu, ",XenoHorizon,XenoHorizon,,,,,,,,,,,,,,,,
超次元动作 海王星U,超次元アクション ネプテュ-ヌU,"pc, psv, ",Tamsoft,Compile Heart,2014-08-28,false,,,,,,,,,,,,,2014-08-28,false
最后生还者 重制版,The Last of Us Remastered,"ps4, ",Naughty Dog,Sony Interactive Entertainment,,,最早发售 2014-07-29,true,,,,,,,,,,,,
背水一战,ZaciSa's Last Stand,"wiiu, ",ZeNfA Productions,ZeNfA Productions,,,,,,,,,,,,,,,,
