JobName,CompanyName,WorkingArea,Salary
机器学习工程师,西安智人网络科技有限公司,陕西省,2-2.5万/月
机器学习算法工程师,北京华泰诺安探测技术有限公司,北京-顺义区,1.5-3万/月
机器学习算法工程师,立得空间信息技术股份有限公司,武汉,1.5-2万/月
机器学习算法工程师,美林数据技术股份有限公司,西安-高新技术产业开发区,1-2万/月
机器学习工程师,江苏准成智能化信息系统有限公司,南京,1-1.5万/月
机器学习算法工程师,华为技术有限公司,南京-雨花台区,2-5万/月
机器学习算法工程师,中国电信集团号百信息服务有限公司,上海,25-30万/年
机器学习算法工程师,深圳市神驼科技有限公司,深圳-南山区,1.8-2.5万/月
机器学习工程师,宁波金唐软件有限公司,宁波,25-35万/年
机器学习工程师,赛莱默（中国）有限公司,上海-长宁区,2-2.5万/月
机器学习算法工程师,NIO蔚来,上海-嘉定区,2.5-3万/月
算法工程师 - 机器学习,仟传网络科技（上海）有限公司,上海-徐汇区,1.5-2万/月
机器学习研究员,NEC（中国）有限公司,北京-朝阳区,30-50万/年
机器学习工程师,智洋创新科技股份有限公司,淄博,1.1-2.2万/月
机器学习算法工程师,入迷（成都）信息技术有限公司,成都-高新区,2-2.5万/月
机器学习研究 （研究岗或技术支撑岗）（超滑）,季华实验室,佛山-南海区,1.3-2.5万/月
机器学习算法工程师,广州多益网络股份有限公司,成都-高新区,1.2-2.4万/月
机器学习算法工程师/模型开发工程师,上海画龙信息科技有限公司,上海-徐汇区,2.5-3万/月
机器学习算法工程师,南京陆加壹智能科技有限公司,南京-秦淮区,1.5-2万/月
机器学习工程师,抚州链视角互联网科技有限公司,抚州,1.2-2万/月
机器学习算法工程师,北京宜通华瑞科技有限公司,大连,1-1.5万/月
机器学习算法主管工程师,广州汽车集团股份有限公司汽车工程研究院,广州-番禺区,40-50万/年
机器学习软件研发架构师,至本医疗科技（上海）有限公司,上海-闵行区,2-3.5万/月
机器学习算法工程师,武汉市锶兰科技开发有限责任公司,武汉-东湖新技术产业开发区,2-4万/月
1141GY-机器学习算法工程师（数据）,平安科技（深圳）有限公司,深圳-南山区,2-2.5万/月
机器学习算法工程师,智线云科技（北京）有限公司武汉分公司,武汉-洪山区,1-1.8万/月
机器学习算法工程师,武汉宇磐科技有限公司,武汉-洪山区,1.5-2万/月
机器学习工程师,海南美时医疗科技有限责任公司,合肥-高新区,1-2.5万/月
机器学习算法工程师AI020512,鹏城实验室,深圳-南山区,
机器学习工程师,杭州来拍网络科技有限公司,杭州,1-1.5万/月
机器学习算法工程师,武汉菲舍控制技术有限公司,武汉-东湖新技术产业开发区,2-3万/月
机器学习算法工程师,成都心吉康科技有限公司,成都-高新区,2-3万/月
机器学习算法工程师,沈阳国际软件园产业发展有限公司,沈阳-浑南区,1-1.5万/月
机器学习工程师,四三九九网络股份有限公司,厦门,1.2-2万/月
AI机器学习算法工程师,厦门瑞盛鼎诚信息技术服务有限公司,深圳-南山区,4-5万/月
机器学习高级算法工程师,上海泽鑫电力科技股份有限公司,南通-崇川区,1-2万/月
机器学习算法工程师（衡睿）,宜通世纪科技股份有限公司,广州-天河区,30-40万/年
机器学习算法工程师（智能驾驶）,上海嗨聊企业管理咨询有限公司,上海-嘉定区,2.5-3万/月
机器学习算法研究员,苏州君盟生物医药科技有限公司,苏州,10-15万/年
数据分析/机器学习工程师,众慧通智能技术有限责任公司,珠海-珠海高新区,1.5-3.5万/月
机器学习工程师,美启电力（广东）股份有限公司,广州-天河区,1.5-2万/月
高级机器学习工程师,苏芯物联技术（南京）有限公司,南京-雨花台区,1.8-3万/月
云平台与机器学习高级研发工程师,合肥常春藤移动科技有限公司,合肥-高新区,1.5-2万/月
人工智能机器学习算法工程师,北京嘉诚瑞杰信息技术有限公司,北京-海淀区,2-3万/月
机器学习工程师,南京三眼精灵信息技术有限公司,南京-雨花台区,1.5-2万/月
深度机器学习框架软件开发工程师,中兴通讯股份有限公司,南京-雨花台区,1.5-2.5万/月
机器学习工程师,杭州同花顺数据开发有限公司,杭州-余杭区,2.5-3万/月
机器学习工程师,北京深睿博联科技有限责任公司,杭州-西湖区,2-5万/月
高级机器学习工程师,上海点正互联网科技有限公司,上海,2.5-3万/月
机器学习开发工程师,武汉傲睿尔科技有限公司,武汉-东湖新技术产业开发区,1.2-1.6万/月
机器学习平台开发工程师,深圳市魔数智擎人工智能有限公司,深圳-南山区,1.5-2.5万/月
机器学习算法高级工程师,奇瑞控股集团有限公司,南京-栖霞区,20-45万/年
机器学习工程师（自动化工具组）,辉达半导体（深圳）有限公司（NVIDIA）,上海,4-5万/月
机器学习算法工程师,湖南应超智能计算研究院有限责任公司,长沙-长沙县,0.7-1.4万/月
机器学习算法工程师,北京华清信安科技有限公司,北京-朝阳区,1.2-1.8万/月
算法工程师（机器学习）,正雅齿科科技（上海）有限公司,上海-浦东新区,1.8-2.5万/月
算法工程师,米思米（中国）精密机械贸易有限公司,上海-静安区,1.2-1.8万/月
人工智能算法工程师,光魄智能科技（徐州）有限公司,上海,2.5-3万/月
AI工程师,江苏德孝泉科技集团有限公司,南京-浦口区,0.7-1.3万/月
算法工程师-深度学习方向,上海帆声图像科技有限公司,上海-浦东新区,1.5-2万/月
采集工程师,宁波集货宝网络科技有限公司,宁波-江北区,0.6-1万/月
算法高级工程师,深圳市真迈生物科技有限公司,深圳-罗湖区,1.5-3万/月
AI算法工程师,技源健康科技（江苏）有限公司上海分公司,上海-徐汇区,1.8-2.5万/月
AI 算法工程师,宾盛科技（武汉）有限公司,武汉-洪山区,1.5-2万/月
算法工程师,深圳曼顿科技有限公司,深圳-宝安区,1.2-1.8万/月
AI算法工程师,苏州睿仟科技有限公司,苏州-高新区,1.5-3.5万/月
高级研发工程师,深圳市星商电子商务有限公司,深圳-龙岗区,2-3.5万/月
相机标定工程师,深圳市安思疆科技有限公司,深圳-南山区,1.5-3万/月
大数据算法工程师,合肥欣奕华智能机器有限公司,合肥-新站区,1.5-3万/月
资深算法工程师,东软医疗系统股份有限公司,沈阳-浑南区,1.5-2.5万/月
NLP算法工程师（杭州）,上海恒生聚源数据服务有限公司,杭州-滨江区,2-4万/月
数据挖掘工程师（数据分析师）,广州市博汇数码科技有限公司,广州,1.2-2.4万/月
软件工程师,哈尔滨工程大学,哈尔滨-南岗区,5-9千/月
算法工程师：机器视觉领域,杭州国翌科技有限公司,成都-高新区,1.2-2.4万/月
算法工程师,杭州神络医疗科技有限公司,杭州-余杭区,2.5-3万/月
高级算法工程师,深圳市中电数通智慧安全科技股份有限公司,深圳-南山区,2-3.5万/月
图像处理算法工程师,北京优创新港科技股份有限公司绵阳分公司,绵阳,1-2万/月
算法工程师,昆明珍茗食品有限责任公司,昆明,8-15万/年
视觉算法工程师,深圳市润江科技有限公司,深圳-宝安区,2-3.5万/月
软件工程师（机器人方向）,中山赛伯坦智能科技有限公司,武汉-洪山区,5-8千/月
算法工程师,辽宁聚进科技有限公司,沈阳-浑南区,1-1.5万/月
图像算法工程师（初级）,杭州筹图科技有限公司,杭州-滨江区,0.7-1.5万/月
CCD工程师,众芯智能科技（东莞）有限公司,东莞-南城区,1-1.5万/月
数据挖掘工程师,浙江省农信联社,杭州-萧山区,20-40万/年
算法工程师,山东领能电子科技有限公司,济南-高新区,0.7-1.3万/月
算法工程师,安徽新一自动化科技有限公司,合肥,1.8-2.8万/月
AI工程师,西湖欧米（杭州）生物科技有限公司,杭州,1-1.5万/月
图像处理工程师,驼人控股集团有限公司,新乡,6-8千/月
AI人工智能算法工程师,东莞市找大状互联网技术有限公司,东莞,1.5-2.5万/月
图像算法工程师,东软集团（大连）有限公司,大连,0.8-1万/月
运动算法工程师,华住酒店管理有限公司,上海-嘉定区,2-4万/月
AI开发岗,中移信息技术有限公司,北京-西城区,2-2.5万/月
数据挖掘工程师,中国光大银行股份有限公司黑龙江分行,哈尔滨,5-8千/月
软件控制与视觉算法工程师,富士康电子工业发展（昆山）有限公司,昆山,0.8-1.2万/月
BK43D4-数据挖掘师,平安银行股份有限公司,深圳-福田区,20-30万/年
数据挖掘工程师,银联智惠信息服务（上海）有限公司,上海-浦东新区,1.5-2万/月
AI图像算法工程师,上海矩子科技股份有限公司,苏州,15-25万/年
深度学习/医学图像算法工程师,杭州脉流科技有限公司,杭州,2-4万/月
AI开发(网络验收)-深圳-双休13薪+,江苏润和软件股份有限公司,深圳-龙岗区,1.3-2.6万/月
算法工程师（指纹算法）,宇起数字科技（上海）有限公司,上海-黄浦区,2.5-5万/月
人工智能研究院-技术研发,北京世纪互联软件开发有限公司,北京-朝阳区,1-1.5万/月
AI工程师（算法研发方向）,上海邦定智慧科技有限公司,上海-浦东新区,2.6-5万/月
算法工程师,上海时觉物联网科技有限公司,上海-黄浦区,2.5-3.5万/月
深度学习工程师,无锡复江自动化有限公司,无锡-滨湖区,0.8-1.6万/月
算法工程师（图像增强）,深圳市格灵人工智能与机器人研究院,深圳-南山区,1.8-3.5万/月
软件开发工程师,东莞市元井智能科技有限公司,东莞-常平镇,0.8-1万/月
3D视觉算法工程师,上海库灵科技有限公司,上海-浦东新区,2.5-3.5万/月
数据挖掘工程师,杭州落英网络科技有限公司,杭州-西湖区,3-4万/月
深度学习CV,千巡科技（深圳）有限公司,深圳-宝安区,1.7-3.3万/月
软件工程师（职位代码QZ004）,深圳高性能医疗器械国家研究院有限公司,深圳-龙华区,0.8-1.5万/月
算法工程师,慧感（上海）物联网科技有限公司,上海-嘉定区,1-1.5万/月
算法工程师,广州博微智能科技有限公司,广州-天河区,1.5-2万/月
算法工程师(石家庄),北京中恒博瑞数字电力科技有限公司,石家庄-裕华区,0.8-1.2万/月
算法工程师,南京物盟信息技术有限公司,南京-江宁区,0.8-1.5万/月
算法工程师,深圳市翎盟科技有限公司,深圳-南山区,1.5-2万/月
金融策略实习生,武汉裕亚捷科技有限公司,武汉,4.5-6千/月
深度学习图像算法工程师,广州市易鸿智能装备有限公司,广州-番禺区,1.5-2.5万/月
算法工程师,深圳市倍量电子有限公司,深圳,1-2万/月
高级软件开发工程师,明智微服（海南）科技有限公司,湛江-坡头区,0.7-1.4万/月
计算机编程（薪高福利好+包食宿）,宁波腾日石油化工有限公司,宁波-镇海区,1.5-2万/月
飞行控制算法工程师,沃飞长空科技（成都）有限公司,成都-高新区,1.5-2万/月
算法工程师,中电科数智科技有限公司,上海-徐汇区,1.5-3万/月
算法工程师,四川凯普顿信息技术股份有限公司,成都-武侯区,1.8-3万/月
缺陷识别算法工程师,中电科风华信息装备股份有限公司,上海-浦东新区,2-2.5万/月
视图解析中心开发工程师,北京中星微电子有限公司,上海-浦东新区,1.5-3万/月
