JobName,CompanyName,WorkingArea,Salary
Sr. Assortment Planning Analyst - 高级数据分析专员,家得宝投资管理（上海）有限公司,深圳-福田区,
数据分析助理,陕西恒冶信息技术有限公司,西安-雁塔区,6-8千/月
数据分析助理/五险一金,北京博海佳瑞科技有限公司,深圳-南山区,6-8千/月
数据分析,上海路卓商贸有限公司,上海-青浦区,0.8-1万/月
遗传数据分析师,南京世和基因生物技术股份有限公司,南京,1-1.5万/月
交通数据分析师,苏州规划设计研究院股份有限公司,苏州,0.8-1.2万/月
数据分析师,深圳市睿服科技有限公司,广州-海珠区,7-8.5千/月
销售数据分析,上海洪熹服饰有限公司,上海-嘉定区,6-8千/月
战略分析师（数据分析）,宁波世贸通国际贸易有限公司,宁波,10-15万/年
网络营销/数据分析/底薪8K起,深圳链家房地产经纪有限公司,深圳-罗湖区,0.8-1万/月
数据分析库控专员,安踏体育用品集团有限公司,佛山-南海区,4-7千/月
高级数据专员/数据分析师（双休）,深圳市星麒祥科技有限公司,深圳-龙华区,1.5-2万/月
数据分析师,上海麦昱建筑设计咨询事务所,上海,1.5-1.8万/月
数据分析主管,海南白马广告媒体投资有限公司上海分公司,广州-天河区,0.7-1.2万/月
数据分析师,周大生珠宝股份有限公司,深圳-罗湖区,5-8千/月
BI数据分析开发工程师,深圳达普信科技有限公司,深圳-南山区,1-1.5万/月
数据分析专员,湖北红珊瑚医药有限公司,北京,0.7-1万/月
数据分析助理,深圳市盛宁树科技有限公司,深圳-宝安区,5-8千/月
大数据分析助理工程师实习生,深圳市迪尔本气动科技有限公司,深圳-南山区,6-8千/月
数据分析负责人,美团,北京-朝阳区,
数据分析专员,环亚新能源专车（深圳）有限公司,深圳-龙岗区,6-8千/月
数据分析师,北京酷车易美网络科技有限公司,北京-朝阳区,6-8千/月
数据分析助理,深圳市思诺兰德服装发展有限公司,深圳-南山区,5-9千/月
数据分析师,广东盛迪嘉集团有限公司,深圳,1.5-2万/月
销售数据分析,永辉彩食鲜发展有限公司,上海-宝山区,0.8-1万/月
重客上海数据分析 (MJ001734),元气森林（北京）食品科技集团有限公司,上海-松江区,1-1.5万/月
数据分析师[J320522],上海美市科技有限公司,武汉-洪山区,1-1.8万/月
商业数据分析岗,广州金逸影视传媒股份有限公司,广州,4.5-6千/月
数据分析师,广州市讯方信息科技有限公司,广州,1-2万/月
数据分析核算专员,零邦服饰有限公司,泉州,3-6千/月
数据分析师,宁波太平鸟悦尚童装有限公司,宁波,10-15万/年
数据分析,上海同界数据科技股份有限公司,上海-静安区,0.8-1.2万/月
数据分析师-增城,跨越速运集团有限公司,广州-增城区,0.8-1.5万/月
数据分析主管/双休/14薪k,东莞闹海房地产经纪有限公司,东莞-东城区,0.8-1万/月
数据分析师-(研究开发部）,中电科新型智慧城市研究院有限公司,深圳-福田区,1.5-2.5万/月
数据分析师,中科特思信息技术（深圳）有限公司西安分公司,西安-雁塔区,6-8千/月
运营数据分析专员助理,西安未来云信息科技有限公司,西安-碑林区,4.5-6千/月
数据分析经理,四川滨江地产集团有限公司,成都-武侯区,30-40万/年
数据分析工程师（集团IT）,重庆双英汽车座椅有限公司,重庆-渝北区,5-9千/月
游戏运营数据分析师,嘉米游戏,广州-天河区,1-1.8万/月
数据分析师,广东臻时名品珠宝有限公司,东莞-东城区,5-8千/月
商业数据分析师（电商行业）,上海帝亚实业有限公司,上海-闵行区,1.5-2万/月
数据分析师,深圳云麦科技有限公司,深圳-南山区,1.5-2万/月
数据分析师,河北晨华信息科技有限公司,石家庄-裕华区,6-8千/月
数据分析专员,太平洋房屋,上海,6-9千/月
网络数据分析工程师,广州通和通信建设有限公司,广州-天河区,0.8-1.2万/月
数据分析主管,百度呼叫中心,上海-嘉定区,2-2.5万/月
数据分析师,上海肆望饮料有限公司,上海-静安区,1-1.5万/月
数据分析师,上海鼎珏电器制冷设备有限公司,上海-宝山区,0.8-1万/月
数据分析师,上海缔璟商务信息咨询有限公司,上海-普陀区,1-1.5万/月
业务数据分析师,上海领灿投资咨询股份有限公司,上海-浦东新区,7-8千/月
数据分析专员,云南华美美莱美容医院有限公司,昆明,5-6.5千/月
初级数据分析师,昆明信飞科技有限公司,昆明,4-5千/月
数据分析师 （六险二金+13薪+双休）,广东兆丰恒业黄金有限公司,广州-越秀区,0.8-1万/月
数据分析师,上海贝塔斯曼欧唯特信息服务有限公司,上海-浦东新区,0.8-1万/月
数据分析师（BI）  (MJ000018),杉欣集团,上海-浦东新区,1-1.7万/月
数据分析师,上海前途出国留学服务有限公司,上海-徐汇区,7-8千/月
数据分析,广州卓然皮具有限公司,广州-白云区,3.5-5千/月
BI 数据分析师 - C端分析方向,深圳虾皮信息科技有限公司,深圳-南山区,1.8-3.5万/月
数据分析员,欧陆检测技术（深圳）有限公司,广州-海珠区,6-8千/月
数据分析师,广州市康远物联科技有限公司,广州-南沙区,1.5-2万/月
数据分析主管/经理,京东商城华南区域分公司,广州-黄埔区,1-1.5万/月
综合数据分析专员,上药控股广东物流有限公司,中山-三角镇,4.5-6千/月
BI数据分析师,久久丫,嘉兴-嘉善县,1-1.5万/月
数据分析员,上海购酒网电子商务有限公司,上海-松江区,6-8千/月
数据分析开发工程师,上海通联金融服务有限公司,上海-浦东新区,1.5-3万/月
商品数据分析主管,杭州迪嘉雅进出口贸易有限公司,杭州-江干区,1-1.5万/月
数据分析师助理/高薪,西安慧晶智能科技有限公司,深圳-龙华区,6-8千/月
数据分析师,宁波邻家网络科技有限公司,宁波,1.4-2.5万/月
数据分析师,杭州瑞谷房地产信息咨询有限公司,杭州-拱墅区,4.5-6千/月
数据分析师（应届生亦可）,杭州微风企科技有限公司,杭州-西湖区,1-1.5万/月
数据分析师,广州易察市场研究有限公司,广州-越秀区,6-8千/月
数据分析师,深圳雁扬科技服务有限公司,深圳-福田区,6-9千/月
APP数据分析助理包住/五险一金,上海裴宇网络服务有限公司,深圳-南山区,0.8-1万/月
医药数据分析师,智慧芽信息科技（苏州）有限公司,北京-海淀区,1.2-2.4万/月
大数据分析主管,重庆洲岳物流有限公司,重庆-九龙坡区,5-9千/月
销售助理（数据分析和费用核销）,上海维艾乐健康管理有限公司,上海-闵行区,5-7千/月
数据分析师,杭州绿洁环境科技股份有限公司,丽水,6-8千/月
销售数据分析,河北万博广告有限公司,北京-海淀区,6-9千/月
数据分析师,上海思舶信息技术有限公司,上海-徐汇区,1-1.5万/月
资深数据分析师,上海宝尊电子商务有限公司,上海-静安区,1.5-2.5万/月
数据分析经理,北京同仁堂健康药业股份有限公司,北京-大兴区,1.5-2万/月
数据分析员（客户管理专员）,蓝月亮（中国）有限公司,广州-黄埔区,6-8千/月
数据分析助理/双休,广州宗泽网络科技有限公司,广州-天河区,6-8千/月
战略数据分析,广州市例外服饰有限公司,广州-海珠区,1-1.5万/月
数据分析助理/13薪,汇杰网络信息（广州）有限公司,广州-天河区,6-8千/月
水质数据分析员（驻北京）,上海科泽智慧环境科技有限公司,北京,5-6千/月
数据分析工程师,杭州三汇数字信息技术有限公司,杭州-滨江区,0.6-1万/月
数据分析,先声再康江苏药业有限公司,南京,4.5-6千/月
数据分析师,苏州广立信息技术有限公司,苏州-吴中区,25-35万/年
数据分析师,念之科技（深圳）有限公司,深圳-龙岗区,0.8-1.3万/月
数据分析师,vivo,东莞-长安镇,2.5-4万/月
空气质量监测数据分析工程师,上海大诚若谷信息科技有限公司,南京,6-8千/月
数据分析员/文员,重庆凤梧商贸有限公司,重庆-巴南区,3.5-5千/月
大数据分析工程师,广东国鸿氢能科技有限公司,广州-黄埔区,1.2-2万/月
BI/数据分析工程师,武汉盛大长青建设投资有限公司,武汉,0.7-1.2万/月
