JobName,CompanyName,WorkingArea,Salary
数据挖掘工程师,沃企信息科技（上海）有限公司,北京-海淀区,3-4万/月
数据挖掘与分析工程师,浙江鸿程计算机系统有限公司,上海-静安区,1-2万/月
大数据挖掘分析工程师,万基泰科工集团（四川）有限公司,成都-成华区,0.8-1.2万/月
数据挖掘与分析管理,上海浅兰电子有限公司,上海-浦东新区,0.7-1万/月
HQ-数据挖掘工程师(J11944),CVTE,广州,2.5-3万/月
人力党政部-数据挖掘师,成都产品质量检验研究院有限责任公司,成都-龙泉驿区,1-1.5万/月
数据挖掘工程师,广州瑞修得信息科技有限公司,广州-天河区,2.5-3.5万/月
数据挖掘工程师,深圳江行联加智能科技有限公司,深圳-宝安区,1.5-3万/月
数据挖掘工程师(J11503),医渡云（北京）技术有限公司,北京,1.5-3万/月
数据挖掘工程师,苏州博彦信息技术有限公司,苏州-工业园区,1-1.5万/月
数据挖掘工程师,中国中金财富证券有限公司,深圳,2-5万/月
数据挖掘工程师,卡尔蔡司光学（中国）有限公司,广州,1-1.5万/月
高级数据挖掘工程师 (MJ002475),杭州安恒信息技术股份有限公司,杭州-滨江区,1.5-2.3万/月
数据挖掘工程师（工业方向）,大连同欣测控技术有限公司,大连-高新园区,1.3-2万/月
数据挖掘工程师,上海则一供应链管理有限公司,上海-青浦区,1.5-2万/月
SCADA数据挖掘工程师,北京鉴衡认证中心有限公司,北京,1.5-2万/月
数据挖掘工程师/算法工程师,上海吉贝克信息技术有限公司,上海-杨浦区,1-1.5万/月
数据挖掘工程师,越亮传奇科技股份有限公司,南京,1.1-1.6万/月
数据挖掘工程师,星诺大气环境科技（南京）有限公司,南京-江宁区,1-2万/月
数据挖掘工程师,麒盛科技股份有限公司,嘉兴-秀洲区,1-2.5万/月
数据挖掘工程师,福建福诺移动通信技术有限公司,云南省,15-25万/年
数据挖掘研发工程师,广州思迈特软件有限公司,广州,2-3.5万/月
数据挖掘工程师,深圳百果园实业（集团）股份有限公司,深圳-南山区,0.8-1.5万/月
数据挖掘工程师,苏州瑞鹏信息技术有限公司,苏州-工业园区,1.5-3万/月
SQL数据挖掘工程师,北京智库泉数据处理有限责任公司,北京-海淀区,0.6-1.2万/月
数据挖掘工程师,南京云创大数据科技股份有限公司,南京,1-1.8万/月
数据挖掘工程师,深圳零一生命科技有限责任公司,深圳-宝安区,1.5-2万/月
数据挖掘工程师（双休+奖金）,四川虎居信息科技有限公司,长沙,4-6千/月
数据挖掘与分析工程师,湖南湖大艾盛汽车技术开发有限公司,柳州,0.5-1万/月
数据挖掘算法工程师,环球车享汽车租赁有限公司,上海-嘉定区,2-4万/月
数据挖掘工程师(用户画像),阅文集团,上海-浦东新区,2-4万/月
阿拉丁智店-大数据选址平台-高级数据挖掘工程师,北京阿拉丁立方信息技术有限公司,北京-朝阳区,2-3万/月
数据挖掘工程师,重庆中元汇吉生物技术有限公司,重庆-大渡口区,1.5-2万/月
数据挖掘工程师,上海银基信息安全技术股份有限公司,上海-浦东新区,1.5-2万/月
高级数据挖掘工程师,深圳市和讯华谷信息技术有限公司,深圳-南山区,2.5-4万/月
数据挖掘工程师,美林数据技术股份有限公司,西安-高新技术产业开发区,0.9-1.8万/月
数据分析师/数据挖掘工程师,广东蔚海数问大数据科技有限公司,广州-天河区,0.8-1.5万/月
数据挖掘工程师,盛趣信息技术（上海）有限公司,上海-浦东新区,2-3万/月
数据挖掘工程师(J17165),深圳华大基因科技有限公司,深圳-盐田区,1.2-1.8万/月
数据挖掘（人工智能）算法工程师,浙江悦芯科技有限公司,杭州-滨江区,1.5-2万/月
数据挖掘工程师,广州市全民钱包科技有限公司,广州-天河区,1.5-3万/月
数据挖掘工程师,北京思特奇信息技术股份有限公司,广州-天河区,1.2-2万/月
数据挖掘工程师,四川铁骑力士实业有限公司成都分公司（集团总部）,成都,1.2-1.5万/月
数据挖掘工程师,钛镕智能科技（苏州）有限公司,南京-建邺区,1-1.8万/月
数据挖掘工程师,蜂巢能源科技有限公司,无锡,1-1.5万/月
数据挖掘算法工程师,北京爱学思技术有限公司,西安-高新技术产业开发区,1-2万/月
数据挖掘工程师,“前程无忧”51job.com（上海）,上海-浦东新区,
