JobName,CompanyName,WorkingArea,Salary
自动化助理工程师（人工智能）,东莞市创华软件有限公司,东莞-松山湖区,8-13万/年
实训师(人工智能),大连东软教育科技集团有限公司,南京-雨花台区,1.3-1.8万/月
人工智能产品助理,中科特思信息技术（深圳）有限公司西安分公司,西安-雁塔区,4.5-6千/月
人工智能与湍流/转捩模型研究岗,中国空气动力研究与发展中心计算空气动力研究所,成都-天府新区,15-20万/年
产品经理 （人工智能方向）,上海志学文化传播有限公司,上海-浦东新区,1.2-1.8万/月
人工智能工程师,上海事成软件股份有限公司,上海,1.5-2.5万/月
销售经理（人工智能行业应用）,复纳科学仪器（上海）有限公司,上海-闵行区,1-1.5万/月
人工智能算法工程师,嘉兴朝云帆生物科技有限公司,嘉兴,1-1.5万/月
软件销售（人工智能产品）,上海欧普泰科技创业股份有限公司,上海-普陀区,1.5-2万/月
人工智能专家,四川伯乐帮科技有限公司,成都-龙泉驿区,3-6万/月
AI人工智能开发主管,启佳通讯(昆山)有限公司,昆山,2-2.5万/月
猎头助理（电子/人工智能）,成都道合企业管理咨询有限公司,成都-武侯区,4-9千/月
高级产品经理（人工智能）,浙江宇视科技有限公司,杭州,1.5-3万/月
人工智能算法工程师（研发中心）,湖南中南智能装备有限公司,长沙-雨花区,0.7-1.4万/月
人工智能开发工程师,深圳国泰安教育技术有限公司,深圳-南山区,1.2-1.8万/月
人工智能应用工程师,赛业（苏州）生物科技有限公司广州分公司,广州-黄埔区,1-1.5万/月
嵌入式开发工程师（人工智能方向）,广州慧睿思通科技股份有限公司,广州-番禺区,1.1-2.2万/月
销售经理（人工智能 图像技术）,深圳市海谱纳米光学科技有限公司,深圳-宝安区,1.5-2.5万/月
人工智能架构师,宁波智聘供应链管理有限公司,宁波-高新区,30-40万/年
售后工程师-人工智能机器人,上海桥山机器人科技有限公司,上海-宝山区,6-8千/月
人工智能工程师,天瑞康健（福州）信息科技有限公司,福州,1.2-2万/月
人工智能算法科学家,西湖生物医药科技（上海）有限公司,上海-浦东新区,2.5-5万/月
运营客服岗（AI人工智能运营）,招银金融信息服务（深圳）有限公司,深圳-南山区,6-8千/月
人工智能开发工程师,上海徒数科技有限公司,苏州-工业园区,1-1.5万/月
人工智能猎头顾问,重庆市一亩田电子商务有限公司,重庆,6-8千/月
图像识别应用开发工程师（人工智能应用部）,广州天源信息科技股份有限公司,广州,1.5-2万/月
产品经理（人工智能）,深圳晶泰科技有限公司,北京-海淀区,1.8-3万/月
AI人工智能开发工程师,苏州申虹昀企业管理有限公司,浙江省,1.5-2万/月
人工智能研究员,北京普睿德利科技有限公司,广州-越秀区,2-3万/月
人工智能专任教师,大连东软信息学院,大连,0.6-1.2万/月
人工智能（报告机）,华南病原检测服务（广州）有限公司,广州-黄埔区,1.5-2万/月
产品经理（人工智能硬件产品）,寓乐湾（武汉）教育科技有限公司,武汉-汉阳区,1-1.5万/月
WEB工程师(人工智能）,上海旷通科技有限公司,上海-徐汇区,1-1.5万/月
校长（人工智能）,广州寰越教育控股集团有限公司,广州-南沙区,1-2万/月
人工智能AI算法工程师/AI智能机器人训练师/AI训练师,大连隆基信息技术有限公司,上海-杨浦区,1.5-2.5万/月
人工智能工程师（北京）,健康数据（北京）科技有限公司广州分公司,广州-天河区,1.5-3万/月
人工智能咨询顾问双休瞪羚,爱才集团有限公司,杭州-余杭区,2-2.5万/月
人工智能专家,中国科学院云计算中心,东莞-松山湖区,2-2.5万/月
耐能产品经理(人工智能方向),深圳市芯智科技有限公司,深圳,1.2-2万/月
人工智能工程师,广州辰创科技发展有限公司,北京-丰台区,2.5-4万/月
大数据、人工智能高级程序员,卡尔丹顿服饰股份有限公司,深圳-龙华区,1.2-1.5万/月
销售工程师（人工智能与机械自动化）,广州伊索自动化科技有限公司,广州-海珠区,10-15万/年
人工智能工程师,华南智能机器人创新研究院,佛山-顺德区,1.5-2.5万/月
人工智能产业顾问,上海元雀信息科技有限公司,上海-浦东新区,1.5-2万/月
产品经理（人工智能方向）,成都分期学科技有限公司,成都-高新区,4-6千/月
人工智能FAE,广州映博智能科技有限公司,上海-静安区,0.8-1.2万/月
